cod6,cod7,nome,idhm,idhm_renda,idhm_longevidade,idhm_educacao,renda_per_capita,gini,pct_pobres,pct_extrema_pobreza,esperanca_vida,pct_analfabetismo_18mais
430250,4302501,BOSSOROCA,0.692,0.665,0.821,0.608,502.18,0.49,15.71,4.93,74.24,8.46
430258,4302584,BOZANO,0.745,0.773,0.853,0.628,982.06,0.42,3.63,0.50,76.18,5.43
430260,4302600,BRAGA,0.674,0.656,0.830,0.563,475.39,0.47,22.26,10.21,74.81,14.76
430265,4302659,BROCHIER,0.699,0.723,0.851,0.554,720.21,0.36,1.28,0.00,76.06,3.46
430270,4302709,BUTIÁ,0.689,0.691,0.848,0.558,590.45,0.47,9.74,3.46,75.85,8.92
430280,4302808,CAÇAPAVA DO SUL,0.704,0.699,0.855,0.585,618.98,0.48,10.41,3.42,76.27,8.68
430290,4302907,CACEQUI,0.700,0.680,0.807,0.626,550.88,0.52,12.69,3.98,73.39,7.99
430300,4303004,CACHOEIRA DO SUL,0.742,0.739,0.854,0.648,793.67,0.54,9.04,2.93,76.22,7.89
430310,4303103,CACHOEIRINHA,0.757,0.749,0.857,0.675,844.04,0.44,3.91,1.39,76.42,3.07
430320,4303202,CACIQUE DOBLE,0.662,0.677,0.810,0.528,539.67,0.51,21.52,12.04,73.57,10.88
430330,4303301,CAIBATÉ,0.719,0.709,0.857,0.611,659.58,0.48,9.97,3.76,76.39,7.37
430340,4303400,CAIÇARA,0.699,0.721,0.817,0.580,712.77,0.47,8.70,2.57,74.00,8.00
430350,4303509,CAMAQUÃ,0.697,0.715,0.819,0.578,686.36,0.48,9.19,2.13,74.14,7.44
430355,4303558,CAMARGO,0.736,0.762,0.854,0.612,916.32,0.39,0.80,0.00,76.25,9.05
430360,4303608,CAMBARÁ DO SUL,0.697,0.705,0.838,0.574,643.45,0.45,4.94,0.76,75.25,7.30
430367,4303673,CAMPESTRE DA SERRA,0.706,0.713,0.886,0.557,675.91,0.31,2.27,0.82,78.13,6.83
430370,4303707,CAMPINA DAS MISSÕES,0.738,0.698,0.849,0.677,615.85,0.41,8.31,2.69,75.91,4.27
430380,4303806,CAMPINAS DO SUL,0.760,0.753,0.842,0.691,869.10,0.46,3.53,1.08,75.49,4.93
430390,4303905,CAMPO BOM,0.745,0.755,0.852,0.643,879.65,0.43,2.23,0.20,76.11,3.34
430400,4304002,CAMPO NOVO,0.703,0.677,0.866,0.593,539.04,0.48,13.56,4.18,76.94,14.05
430410,4304101,CAMPOS BORGES,0.708,0.704,0.819,0.616,637.46,0.46,8.00,3.62,74.16,9.92
430420,4304200,CANDELÁRIA,0.674,0.699,0.842,0.521,620.92,0.46,11.01,4.91,75.49,10.03
430430,4304309,CÂNDIDO GODÓI,0.728,0.720,0.853,0.627,706.19,0.45,5.32,2.53,76.17,3.53
430435,4304358,CANDIOTA,0.698,0.704,0.860,0.562,638.77,0.51,14.37,6.91,76.57,5.79
430440,4304408,CANELA,0.748,0.738,0.849,0.667,787.78,0.48,5.48,1.34,75.92,4.47
430450,4304507,CANGUÇU,0.650,0.683,0.819,0.491,562.54,0.49,18.19,9.14,74.15,9.69
430460,4304606,CANOAS,0.750,0.768,0.864,0.636,952.13,0.51,4.40,0.93,76.83,2.73
430461,4304614,CANUDOS DO VALE,0.713,0.751,0.840,0.574,854.58,0.49,9.47,6.90,75.38,11.13
430462,4304622,CAPÃO BONITO DO SUL,0.637,0.654,0.779,0.507,468.49,0.52,21.56,10.65,71.73,10.68
430463,4304630,CAPÃO DA CANOA,0.743,0.756,0.852,0.637,884.47,0.51,6.25,1.49,76.11,3.91
430465,4304655,CAPÃO DO CIPÓ,0.672,0.639,0.860,0.552,426.09,0.51,21.85,9.81,76.61,6.75
430466,4304663,CAPÃO DO LEÃO,0.637,0.662,0.814,0.480,493.36,0.43,11.03,2.37,73.81,7.86
430467,4304671,CAPIVARI DO SUL,0.766,0.805,0.836,0.668,1196.47,0.68,6.19,1.00,75.17,8.24
430468,4304689,CAPELA DE SANTANA,0.661,0.675,0.816,0.525,533.88,0.39,7.42,2.20,73.93,6.16
430469,4304697,CAPITÃO,0.746,0.747,0.842,0.661,835.57,0.38,0.87,0.19,75.49,5.58
430470,4304705,CARAZINHO,0.766,0.756,0.840,0.707,881.73,0.51,5.82,1.56,75.42,4.30
430471,4304713,CARAÁ,0.652,0.661,0.830,0.505,490.65,0.39,9.24,2.36,74.79,12.52
430480,4304804,CARLOS BARBOSA,0.796,0.835,0.835,0.724,1446.56,0.51,0.19,0.00,75.07,2.66
430485,4304853,CARLOS GOMES,0.739,0.732,0.886,0.622,761.35,0.43,3.70,1.17,78.14,5.05
430490,4304903,CASCA,0.785,0.778,0.847,0.733,1011.38,0.41,2.02,0.36,75.81,4.05
